record_type,timestamp_local,outcome,tmdb_title_key,display_title,fetch_summary_head,app_streaming_context,raw_title_context,notes
tmdb_retry,2026-08-20 12:11:09,,,,,,,"{""event"": ""tmdb_error_flag_retry"", ""rule_index"": 0, ""rule_id"": ""tv+raw_title"", ""prefer"": ""tv"", ""query_source"": ""raw_title"", ""query_sent"": ""Tangled: The Series"", ""primary_query"": ""Tangled: The Series"", ""raw_title_query"": ""Tangled: The Series"", ""alternate_available"": true, ""alternate_query"": ""S1:E2 Prison Bake"", ""t"": ""2026-08-20T16:11:06.548327+00:00""}"
tmdb_quality,2026-08-20 12:12:45,SUCCESS,Tangled Roots,Tangled: The Series - Short Cuts,Tangled Roots,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Tangled: The Series - Short Cuts"" raw_query=""Tangled: The Series"" layer_series_title=""Tangled: The Series - Short Cuts""",
tmdb_quality,2026-08-20 12:15:32,SUCCESS,Bluey Compilations,Bluey Compilations,Bluey Compilations,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bluey Compilations"" raw_query=""Bluey Compilations"" layer_series_title=""Bluey Compilations""",
tmdb_quality,2026-08-20 13:30:07,SUCCESS,Mermaid Magic,Mermaid Magic,Mermaid Magic,"app_name=""Prime Video"" app_id=""com.amazon.aiv.AIVApp"" streaming_service_label=""Prime Video"" streaming_service_badge=""App logos/AppLogo_PrimeVideo.png""","raw_title=""Mermaid Magic"" raw_query=""Mermaid Magic"" layer_series_title=""Mermaid Magic""",
tmdb_quality,2026-08-23 20:29:02,SUCCESS,Bluey Minisodes,Bluey Minisodes,Bluey Minisodes,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bluey Minisodes"" raw_query=""Bluey Minisodes"" layer_series_title=""Bluey Minisodes""",
tmdb_quality,2026-08-23 20:30:22,SUCCESS,Bluey Minisodes,Bluey Minisodes,Bluey Minisodes,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bluey Minisodes"" raw_query=""Bluey Minisodes"" layer_series_title=""Bluey Minisodes""",
tmdb_quality,2026-08-23 23:03:17,SUCCESS,Bluey Minisodes,Bluey Minisodes,Bluey Minisodes,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bluey Minisodes"" raw_query=""Bluey Minisodes"" layer_series_title=""Bluey Minisodes""",
tmdb_quality,2026-08-23 23:19:52,SUCCESS,Bluey Minisodes,Bluey Minisodes,Bluey Minisodes,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bluey Minisodes"" raw_query=""Bluey Minisodes"" layer_series_title=""Bluey Minisodes""",
tmdb_quality,2026-08-23 23:35:17,SUCCESS,Bluey Minisodes,Bluey Minisodes,Bluey Minisodes,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bluey Minisodes"" raw_query=""Bluey Minisodes"" layer_series_title=""Bluey Minisodes""",
tmdb_quality,2026-08-23 23:46:06,SUCCESS,Bluey Minisodes,Bluey Minisodes,Bluey Minisodes,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bluey Minisodes"" raw_query=""Bluey Minisodes"" layer_series_title=""Bluey Minisodes""",
tmdb_quality,2026-08-24 00:08:01,SUCCESS,Bluey Minisodes,Bluey Minisodes,Bluey Minisodes,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bluey Minisodes"" raw_query=""Bluey Minisodes"" layer_series_title=""Bluey Minisodes""",
tmdb_quality,2026-08-24 00:15:56,SUCCESS,Tropic Thunder,Tropic Thunder,Tropic Thunder,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Tropic Thunder"" raw_query=""Tropic Thunder"" layer_series_title=""Tropic Thunder""",
tmdb_quality,2026-08-24 00:18:10,SUCCESS,Tropic Thunder,Tropic Thunder,Tropic Thunder,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Tropic Thunder"" raw_query=""Tropic Thunder"" layer_series_title=""Tropic Thunder""",
tmdb_quality,2026-08-24 02:20:46,SUCCESS,Top Gun_ Maverick,Top Gun: Maverick,Top Gun_ Maverick,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Top Gun: Maverick"" raw_query=""Top Gun: Maverick"" layer_series_title=""Top Gun: Maverick""",
